frame,timestamp,target_id,pred_x,pred_y,radius,confidence,lost_frames,predicted_only,gt_x,gt_y,error_px,detection_count,track_count,hypothesis_count,recovery_active,collective_promoted,collective_dx,collective_dy,collective_rotation_deg
445,14.832786,26,476.805,212.887,42.695,1.0000,0,0,491.281,198.483,20.421,34,66,1,0,0,4.1509,-1.7239,5.2338
446,14.866118,26,482.254,207.285,42.636,1.0000,0,0,492.894,198.779,13.622,32,66,1,0,0,3.7154,-1.7714,0.8270
447,14.899450,26,482.034,207.462,42.596,1.0000,0,0,498.007,199.303,17.935,30,65,1,0,0,2.9289,-1.5378,0.1628
448,14.932782,26,482.966,205.885,42.725,0.8353,1,1,505.413,202.564,22.691,25,65,1,0,0,3.4847,-2.2366,-1.3842
449,14.966114,26,484.016,207.563,42.608,1.0000,0,0,507.008,204.582,23.185,24,64,1,0,0,3.0225,-2.3190,3.4429
450,14.999446,26,487.387,206.867,42.550,1.0000,0,0,509.296,207.046,21.910,26,63,1,0,0,3.0623,-2.1298,1.9289
451,15.032779,26,497.037,209.305,42.513,1.0000,0,0,512.819,210.802,15.853,36,65,1,0,0,2.9403,-2.3152,0.2449
452,15.066111,26,505.637,209.585,42.488,1.0000,0,0,518.061,213.825,13.128,34,65,1,0,0,3.3321,-2.5430,-0.0770
453,15.099443,26,513.165,209.869,42.467,1.0000,0,0,521.818,216.920,11.162,36,65,1,0,0,2.8274,-2.2087,-0.8627
454,15.132775,26,519.800,209.242,42.450,1.0000,0,0,527.354,218.398,11.870,33,66,1,0,0,3.3149,-2.8371,-5.7026
